年份,不变价国内生产总值（亿元）,不变价固定资产投资额（亿元）,不变价社会消费品零售总额,就业人数
2000,100280.1,32917.7,22909,72085
2001,102393.6,37064.2,25211.25789,72797
2002,103029.9,43456.1,28517.34897,73280
2003,105733.4,54042.7,30883.64607,73736
2004,113124.5,64890.2,33299.23322,74264
2005,117636.1,80467.5,37381.0334,74647
2006,122283.2,98226.8,42712.90799,74978
2007,131839.7,118011.8,48277.78676,75321
2008,142241.4,136313.4,54057.94895,75564
2009,142314.1,181470,62456.48664,75828
2010,152246.3,196325.2,70371.23702,76105
2011,164709,227932.7,74913.65772,76420
2012,168888.3,271189.4,82342.66584,76704
2013,172742.6,322071.2,92484.99147,76977
2014,174172.7,367633,101522.1251,77253
2015,179365.1,411704.8,112189.0492,77451
2016,187373.3,446089.2,122183.8194,77603
2017,200608.2,445747.1,131770.8928,77640
